iter	Passed	Remaining
164	44572	225562
165	44931	225738
166	45175	225334
167	45480	225235
168	45845	225431
169	46085	225004
170	46285	224389
171	46562	224147
172	46783	223642
173	47071	223454
174	47383	223381
175	47666	223163
176	47887	222663
177	48133	222281
178	48334	221689
179	48551	221178
180	48935	221427
181	49294	221554
182	49506	221019
183	49720	220497
184	49999	220266
185	50253	219924
186	50522	219650
187	50762	219250
188	51063	219115
189	51634	220124
190	52019	220333
191	52248	219881
192	52547	219720
193	52795	219348
194	53122	219301
195	53392	219019
196	53626	218588
197	53828	218031
198	54092	217730
199	54338	217355
200	54647	217229
201	55103	217684
202	55503	217912
203	55765	217595
204	56030	217288
205	56432	217511
206	56806	217621
207	57033	217166
208	57344	217030
209	57774	217341
210	58039	217030
211	58358	216916
212	58591	216486
213	58838	216106
214	59064	215655
215	59319	215308
216	59591	215022
217	59793	214489
218	60041	214119
219	60331	213902
220	60519	213324
221	60714	212774
222	60895	212177
223	61115	211721
224	61320	211213
225	61560	210830
226	61732	210217
227	61939	209726
228	62199	209413
229	62473	209150
230	62701	208733
231	62902	208227
232	63087	207673
233	63286	207167
234	63550	206875
235	63756	206396
236	63955	205898
237	64145	205373
238	64384	205006
239	64632	204670
240	64831	204180
241	65079	203843
242	65336	203536
243	65619	203313
244	65898	203076
245	66313	203254
246	66541	202858
247	66765	202448
248	67044	202211
249	67326	201980
250	67631	201817
251	68184	202387
252	68768	203044
253	69110	202977
254	69329	202551
255	69509	202011
256	69685	201465
257	69879	200970
258	70065	200457
259	70285	200042
260	70503	199625
261	70689	199117
262	70884	198638
263	71048	198074
264	71308	197780
265	71514	197335
266	71733	196931
267	71919	196436
268	72116	195974
269	72381	195698
270	72622	195358
271	72838	194949
272	73073	194594
273	73249	194084
274	73518	193821
275	73702	193336
276	73918	192936
277	74205	192720
278	74443	192378
279	74636	191921
280	74890	191624
281	75076	191152
282	75278	190723
283	75509	190367
284	75797	190159
285	76014	189771
286	76245	189417
287	76500	189126
288	76843	189051
289	77151	188887
290	77526	188888
291	77738	188488
292	77985	188176
293	78416	188307
294	78838	188411
295	79235	188452
296	80036	189446
297	80470	189563
298	80873	189606
299	81443	190033
300	81834	190040
301	82070	189687
302	82310	189341
303	82527	188945
304	82706	188462
305	82898	188011
306	83123	187636
307	83331	187224
308	83519	186769
309	83714	186333
310	83984	186061
311	84207	185689
312	84519	185511
313	84728	185107
314	84890	184604
315	85118	184244
316	85338	183867
317	85571	183521
318	85780	183123
319	86035	182824
320	86290	182527
321	86490	182113
322	86716	181755
323	86962	181439
324	87167	181040
325	87400	180699
326	87724	180546
327	88000	180294
328	88325	180140
329	88542	179767
330	88759	179396
331	88971	179014
332	89224	178716
333	89469	178402
334	89696	178053
335	89892	177644
336	90149	177355
337	90427	177109
338	90671	176795
339	90859	176374
340	91087	176031
341	91294	175647
342	91600	175455
343	91900	175251
344	92159	174969
345	92336	174531
346	92542	174149
347	92740	173754
348	92993	173463
349	93297	173267
350	93591	173051
351	93831	172735
352	94122	172514
353	94364	172202
354	94654	171977
355	94907	171685
356	95118	171319
357	95364	171016
358	95704	170881
359	96011	170687
360	96273	170412
361	96783	170573
362	97073	170345
363	97433	170240
364	97673	169925
365	97932	169641
366	98450	169806
367	98797	169674
368	99054	169386
369	99330	169130
370	99756	169129
371	100127	169032
372	100457	168865
373	100804	168725
374	101193	168656
375	101475	168406
376	101831	168278
377	102079	167972
378	102355	167711
379	102675	167522
380	102863	167120
381	103117	166823
382	103400	166575
383	103688	166333
384	103924	166009
385	104280	165876
386	104539	165587
387	104763	165244
388	105042	164989
389	105298	164698
390	105540	164384
391	105851	164178
392	106128	163918
393	106627	164000
394	106825	163618
395	107039	163262
396	107249	162900
397	107430	162495
